ID,Key,String,EventID,TranslatedString
1834453835878400,WORLDEVENT109_PAGE1,"The Party stumbled on an unsettling site. Before them were corpses of lizardmen littered around a strange symbol on the ground, which looked like it was drawn with blood. It eerily looked like some demonic ritual of some sort.",109,队伍偶然发现了一个令人不安的场景。在他们面前，几具蜥蜴人的尸体散落在地，周围是一个看起来像是用血画成的奇怪符号。这看起来像是某种恶魔仪式，令人毛骨悚然。
1834453835878401,WORLDEVENT109_DECISION1,Examine the Site.,109,检查现场。
1834453835878402,WORLDEVENT109_DECISION1RESULT0_PAGE1,"After examing the site {CHARACTER1} could tell that these lizardmen were trying to summon a demon. Unfortunately for them summoning one would require a lot of arcane power which apparently none of these had. The Party wonders why lizardmen would try to summon a demon.
{CHARACTER1} realized that such a ritual would also have required some valuable gems and started to inspect the bodies of the lizardmen.
Just as expected {GENDER1:cond:=1?he|=0?she} found several valuable gems.  

Knowing now what the function of the ritual was they started to destroyed the site, removing any trace of it so that nobody else could use it if they were to stumble on to it like them.",109,"在检查现场后，{CHARACTER1} 能够判断这些蜥蜴人试图召唤一只恶魔。不幸的是，召唤恶魔需要大量的奥术力量，而显然这些蜥蜴人都没有。队伍开始怀疑为什么蜥蜴人会试图召唤恶魔。  
{CHARACTER1} 意识到这样的仪式还需要一些珍贵的宝石，便开始检查蜥蜴人的尸体。  
果然，{GENDER1:cond:=1?他|=0?她} 找到了几颗珍贵的宝石。  

现在知道了仪式的功能，他们开始摧毁现场，清除任何痕迹，以防其他人像他们一样偶然发现这个地方。"
1834453835878403,WORLDEVENT109_DECISION1ALTRESULT0_PAGE1,"{CHARACTER1} couldn't make heads or tails of the situation. It looked like some horrible arcane blood ritual but for what purpose {GENDER1:cond:=1?he|=0?she} had no idea. All that was clear was that these lizards tried it and died horribly.

Enough reason for the Party to just leave the site alone and continue with their journey.",109,"{CHARACTER1} 对这种情况感到困惑。看起来像是某种可怕的奥术血仪式，但{GENDER1:cond:=1?他|=0?她} 完全不知道其目的。唯一明确的是，这些蜥蜴人尝试过这个仪式并惨遭失败。

这足以让队伍决定不去碰这个地方，继续他们的旅程。"
1834453835878404,WORLDEVENT109_DECISION2,Leave the site alone.,109,不去碰这个地方。
1834453835878405,WORLDEVENT109_DECISION2RESULT0_PAGE1,This whole thing is too spooky for them. The Party decided to leave and scratch this memory from their heads.,109,这一切对他们来说太诡异了。队伍决定离开，并将这段记忆从脑海中抹去。
1834453835878406,WORLDEVENT110_PAGE1,The Party meet a man who was carrying the largest egg they've ever seen their life. He tells the Party that what they're seeing is a genuine dragon egg and that he was looking for trustworthy buyers. It would also be a bargain for only 2000 gold.,110,队伍遇到了一名男子，他手里拿着他们见过的最大的蛋。他告诉队伍，他们看到的是真正的龙蛋，并且他在寻找值得信赖的买家。只需2000金币，这将是个划算的交易。
1834453835878407,WORLDEVENT110_DECISION1,"Buy, buy, buy!",110,买，买，买！
1834453840072704,WORLDEVENT110_DECISION1RESULT0_PAGE1,"The merchant happily handed over the egg after receiving the gold.
Looking at the egg the Adventurers already dreamed of the possibilities behind having a dragon in the Guild. ",110,"商人高兴地在收到金币后将蛋递给了他们。  
看着这个蛋，冒险者们已经开始幻想拥有一只龙在公会里的种种可能。"
1834453840072705,WORLDEVENT110_DECISION2,"Buy, buy, buy!(The Guild pays for it).",110,买，买，买！（公会出钱）。
